"ID","nombre_comun","nombre_cientifico","autor","familia","forma_vida","origen","continente","año_plantacion","sector","altura_m","diametro_cm","latitud","longitud"
"ARB019","Magnolia","Magnolia grandiflora","L.","Magnoliaceae","Árbol latifoliado","E.E.U.U","América del Norte",,,,,-38.057062,-57.680232
"ARB020","Plátano","Platanus ×hispanica","Mill. ex Münchh.","Platanaceae","Árbol latifoliado","Europa","Europa / Origen Híbrido",,,,,-38.057076,-57.680527
"ARB021","Tilo","Tilia sp.",,"Malvaceae","Árbol latifoliado","-","Hemisferio Norte / Variable",1990,,,,-38.057192,-57.680583
"ARB022","Araucaria Australiana","Araucaria bidwillii","Hook.","Araucariaceae","Conífera","Australia","Oceanía (Australia)",,,,,-38.056909,-57.680885
"ARB023","Ciprés de Monterrey","Cupressus macrocarpa var. lutea","Hartw. ex Gordon","Cupressaceae","Conífera","E.E.U.U","América del Norte",,,,,-38.05684,-57.681064
"ARB024","Cipreses","Cupressus sp.",,"Cupressaceae","Conífera","-","Hemisferio Norte / Variable",,,,,-38.056934,-57.681113
"ARB025","Casuarina","Casuarina equisetifolia","L.","Casuarinaceae","Árbol latifoliado","Australia","Hemisferio Norte / Variable",,,,,-38.056656,-57.68126
"ARB026","Encina","Quercus baloot","Griff.","Fagaceae","Árbol latifoliado","Europa","Europa (Mediterráneo) / África del Norte",,,,,-38.055929,-57.680409
"ARB027","Pino mexicano amarillo","Pinus patula","Schltdl. & Cham.","Pinaceae","Conífera","México","Europa (Mediterráneo) / África del Norte",,,,,-38.056056,-57.679651
"ARB028","Araucaria Australiana","Araucaria bidwillii","Hook.","Araucariaceae","Conífera","Australia","Oceanía (Australia)",,,,,-38.056057,-57.679449
"ARB029","Álamo blanco","Populus alba","L.","Salicaceae","Árbol latifoliado","Europa-Asia","América del Norte",,,,,-38.056168,-57.679357
"ARB030","Castaño de Indias","Aesculus hippocastanum","L.","Sapindaceae","Árbol latifoliado","Europa","Europa (Balcanes)",,,,,-38.056127,-57.679297
"ARB031","?Alcanforero","Cinnamomum camphora","(L.) J.Presl","Lauraceae","Árbol latifoliado","Asia","Asia / Europa",,,,,-38.056093,-57.679557
"ARB032","Cedro japonés","Cryptomeria japonica","(Thunb. ex L. f.) D. Don","Cupressaceae","Conífera","Asia","Asia (Japón)",,,,,-38.056374,-57.679314
"ARB033","Liquidambar","Liquidambar sp.",,"Altingiaceae","Árbol latifoliado","-","América del Norte / Asia",,,,,-38.056545,-57.679395
"ARB034","Secuoya roja","Sequoiadendron giganteum","(Lindl.) J.Buchholz","Cupressaceae","Conífera",,"América del Norte",,,,,,
"ARB035","Ahuehuete","Taxodium mucronatum","Ten.","Cupressaceae","Conífera",,"América del Norte (México)",,,,,,
"ARB036","Ciprés de las Guaitecas","Austrocedrus chilensis","(D.Don) Pic.Serm. & Bizzarri","Cupressaceae","Conífera",,"América del Sur (Andes)",,,,,,
"ARB037","Tejo común","Larix decidua","Mill.","Pinaceae","Conífera",,"Europa / África del Norte / Asia",,,,,,
"ARB038","Abeto de Douglas","Ceanothus thyrsiflorus","Eschsch.","Rhamnaceae","Arbusto",,"América del Norte",,,,,,
"ARB039","Hipericón canario","Hypericum ×moserianum","André","Hypericaceae","Arbusto",,"África (Islas Canarias)",,,,,,
"ARB040","Carex","Celtis tala","Gillies ex Planch.","Cannabaceae","Árbol latifoliado",,"Global / Cosmopolita",,,,,,
"ARB041","Damara","Agathis dammara","(Lamb.) Rich. & A.Rich.","Araucariaceae","Conífera",,"Asia (Sudeste Asiático)",,,,,,
"ARB042","Árbol de los tulipanes","Liriodendron tulipifera","L.","Magnoliaceae","Árbol latifoliado",,"América del Norte",,,,,,
"ARB043","Roble rojo","Quercus rubra","L.","Fagaceae","Árbol latifoliado","Europa","América del Norte",,,,,-38.0558,-57.682849
"ARB044","Aliso andino","Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","Pinaceae","Conífera","América","América (del Norte y del Sur)",,,,,-38.05574,-57.682864
"ARB045","Macasar","Chamaecyparis lawsoniana","(A.Murray bis) Parl.","Cupressaceae","Conífera","Norte América","Asia (China)",,,,,-38.05573,-57.682739
"ARB046","Ciprés de Hinoki","Chamaecyparis obtusa","(Siebold & Zucc.) Endl.","Cupressaceae","Conífera","Norte América","Asia (Japón)",,,,,-38.05576,-57.682726
"ARB047","Corona de novia","Spiraea cantoniensis","Lour.","Rosaceae","Arbusto","Asia","Asia (China)",,,,,-38.05564,-57.682655
